times,arg
23:18:51.412,4.93657
23:18:51.475,4.93768
23:18:51.525,4.93517
23:18:51.589,4.93352
23:18:51.650,4.93435
23:18:51.717,4.92888
23:18:51.764,4.9325
23:18:51.826,4.92501
23:18:51.892,4.917
23:18:51.957,4.92934
23:18:52.005,4.92253
23:18:52.068,4.93058
23:18:52.133,4.93647
23:18:52.198,4.93997
23:18:52.243,4.93284
23:18:52.309,4.93428
23:18:52.374,4.92754
23:18:52.437,4.93509
23:18:52.483,4.94651
23:18:52.548,4.92411
23:18:52.613,4.90096
23:18:52.678,4.89606
23:18:52.725,4.88179
23:18:52.788,4.88794
23:18:52.853,4.86934
23:18:52.917,4.86448
23:18:52.966,4.86731
23:18:53.030,4.8555
23:18:53.090,4.84898
23:18:53.157,4.84604
23:18:53.204,4.84616
23:18:53.268,4.84279
23:18:53.333,4.84214
23:18:53.397,4.84104
23:18:53.444,4.83124
23:18:53.510,4.82318
23:18:53.570,4.82106
23:18:53.635,4.82851
23:18:53.684,4.82296
23:18:53.749,4.82682
23:18:53.811,4.82532
23:18:53.877,4.82232
23:18:53.924,4.81984
23:18:53.988,4.81582
23:18:54.052,4.82141
23:18:54.115,4.81974
23:18:54.163,4.81271
23:18:54.228,4.80746
23:18:54.292,4.81266
23:18:54.357,4.81057
23:18:54.404,4.80857
23:18:54.468,4.81128
23:18:54.532,4.82844
23:18:54.596,4.84117
23:18:54.644,4.8591
23:18:54.708,4.86185
23:18:54.771,4.86961
23:18:54.837,4.88571
23:18:54.885,4.88576
23:18:54.950,4.8896
23:18:55.012,4.8854
23:18:55.077,4.90454
23:18:55.124,4.9032
23:18:55.188,4.90964
23:18:55.253,4.90625
23:18:55.317,4.92348
23:18:55.362,4.91759
23:18:55.430,4.93214
23:18:55.493,4.92977
23:18:55.560,4.92905
23:18:55.604,4.941
23:18:55.670,4.93948
23:18:55.730,4.95102
23:18:55.795,4.95131
23:18:55.844,4.94668
23:18:55.908,4.93195
23:18:55.973,4.94599
23:18:56.038,4.94991
23:18:56.085,4.94275
23:18:56.153,4.95126
23:18:56.211,4.94472
23:18:56.277,4.95184
23:18:56.324,4.94752
23:18:56.387,4.94398
23:18:56.452,4.94368
23:18:56.516,4.94221
23:18:56.565,4.94686
23:18:56.630,4.93896
23:18:56.692,4.94708
23:18:56.755,4.9539
23:18:56.803,4.94587
23:18:56.867,4.94985
23:18:56.932,4.95018
23:18:56.997,4.94438
23:18:57.046,4.95857
23:18:57.108,4.95586
23:18:57.172,4.95573
23:18:57.237,4.9533
23:18:57.286,4.95485
23:18:57.348,4.95185
23:18:57.411,4.95665
23:18:57.476,4.95807
23:18:57.525,4.9563
23:18:57.589,4.96368
23:18:57.652,4.96371
23:18:57.716,4.96039
23:18:57.765,4.9684
23:18:57.828,4.96007
23:18:57.892,4.96364
23:18:57.955,4.96687
23:18:58.003,4.96592
23:18:58.068,4.96394
23:18:58.133,4.96999
23:18:58.198,4.98631
23:18:58.243,4.99229
23:18:58.309,5.00458
23:18:58.372,5.01187
23:18:58.421,5.01813
23:18:58.485,5.00995
23:18:58.548,5.0279
23:18:58.612,5.02495
23:18:58.661,5.01762
23:18:58.724,5.01923
23:18:58.789,5.01316
23:18:58.853,4.99674
23:18:58.900,5.00427
23:18:58.963,4.99863
23:18:59.029,5.00288
23:18:59.093,4.99495
23:18:59.140,4.99236
23:18:59.205,5.00084
23:18:59.269,5.00562
23:18:59.333,4.9982
23:18:59.379,4.99264
23:18:59.445,4.99869
23:18:59.509,5.00363
23:18:59.573,5.00364
23:18:59.620,4.99155
23:18:59.684,4.9952
23:18:59.748,5.00195
23:18:59.813,4.99551
23:18:59.859,4.98789
23:18:59.925,4.98362
23:18:59.988,4.98657
23:19:00.053,4.99057
23:19:00.099,5.00048
23:19:00.163,5.00845
23:19:00.228,5.01924
23:19:00.292,5.01927
23:19:00.340,5.02661
23:19:00.404,5.03409
23:19:00.468,5.04811
23:19:00.533,5.04737
23:19:00.581,5.04405
23:19:00.645,5.04291
23:19:00.708,5.0457
23:19:00.772,5.05004
23:19:00.822,5.05233
23:19:00.885,5.05968
23:19:00.950,5.04976
23:19:01.013,5.06292
23:19:01.060,5.05136
23:19:01.125,5.05253
23:19:01.189,5.0545
23:19:01.253,5.04947
23:19:01.302,5.05018
23:19:01.363,5.03545
23:19:01.428,5.03523
23:19:01.493,5.02922
23:19:01.539,5.03949
23:19:01.606,5.03149
23:19:01.667,5.04227
23:19:01.734,5.03751
23:19:01.781,5.04447
23:19:01.845,5.07185
23:19:01.909,5.13877
23:19:01.973,5.24284
23:19:02.020,5.39629
23:19:02.085,5.56694
23:19:02.148,5.77116
23:19:02.212,5.97204
23:19:02.258,6.1371
23:19:02.323,6.26955
23:19:02.388,6.36011
23:19:02.453,6.44589
23:19:02.502,6.51087
23:19:02.565,6.55784
23:19:02.630,6.60091
23:19:02.693,6.67535
23:19:02.741,6.74796
23:19:02.805,6.78414
23:19:02.868,6.90724
23:19:02.935,6.98162
23:19:02.980,7.04257
23:19:03.045,7.10538
23:19:03.110,7.15817
23:19:03.173,7.19591
23:19:03.221,7.23926
23:19:03.285,7.27445
23:19:03.350,7.28807
23:19:03.414,7.31764
23:19:03.461,7.36272
23:19:03.525,7.39086
23:19:03.590,7.42369
23:19:03.653,7.46134
23:19:03.700,7.48901
23:19:03.766,7.50883
23:19:03.828,7.43703
23:19:03.893,7.39154
23:19:03.941,7.35627
23:19:04.005,7.347
23:19:04.068,7.36528
23:19:04.133,7.3692
23:19:04.182,7.36843
23:19:04.245,7.39143
23:19:04.308,7.41395
23:19:04.373,7.43521
23:19:04.419,7.46424
23:19:04.483,7.46968
23:19:04.549,7.51443
23:19:04.614,7.55306
23:19:04.661,7.59019
23:19:04.724,7.7379
23:19:04.789,7.86575
23:19:04.852,7.94745
23:19:04.901,8.0106
23:19:04.965,8.07817
23:19:05.028,8.11087
23:19:05.093,8.13745
23:19:05.140,8.19542
23:19:05.204,8.19741
23:19:05.268,8.21182
23:19:05.332,8.22718
23:19:05.381,8.23664
23:19:05.445,8.24121
23:19:05.509,8.24578
23:19:05.572,8.25158
23:19:05.622,8.261
23:19:05.685,8.28613
23:19:05.749,8.30163
23:19:05.798,8.30892
23:19:05.859,8.29848
23:19:05.925,8.31235
23:19:05.989,8.32678
23:19:06.037,8.35751
23:19:06.103,8.39641
23:19:06.163,8.39992
23:19:06.229,8.41185
23:19:06.277,8.4276
23:19:06.339,8.29109
23:19:06.405,8.21679
23:19:06.469,8.16337
23:19:06.518,8.14275
23:19:06.581,8.10404
23:19:06.643,8.08506
23:19:06.709,8.07553
23:19:06.757,8.07027
23:19:06.821,8.08372
23:19:06.886,8.09356
23:19:06.949,8.10427
23:19:06.997,8.13243
23:19:07.059,8.11709
23:19:07.122,8.11207
23:19:07.189,8.10339
23:19:07.237,8.08852
23:19:07.300,8.09783
23:19:07.364,8.09102
23:19:07.428,8.2185
23:19:07.478,8.3004
23:19:07.541,8.3656
23:19:07.605,8.42524
23:19:07.670,8.46928
23:19:07.718,8.48958
23:19:07.782,8.52238
23:19:07.845,8.55447
23:19:07.909,8.57514
23:19:07.956,8.60168
23:19:08.022,8.61675
23:19:08.085,8.62634
23:19:08.149,8.62636
23:19:08.197,8.64976
23:19:08.263,8.65246
23:19:08.325,8.64253
23:19:08.389,8.63436
23:19:08.435,8.62024
23:19:08.501,8.63633
23:19:08.565,8.64271
23:19:08.627,8.64646
23:19:08.678,8.64306
23:19:08.742,8.65208
23:19:08.804,8.65357
23:19:08.869,8.66932
23:19:08.917,8.67266
23:19:08.982,8.66313
23:19:09.045,8.64951
23:19:09.110,8.64066
23:19:09.156,8.6307
23:19:09.221,8.62794
23:19:09.285,8.62846
23:19:09.351,8.62678
23:19:09.398,8.62415
23:19:09.462,8.61858
23:19:09.525,8.61967
23:19:09.589,8.61001
23:19:09.639,8.59998
23:19:09.701,8.59831
23:19:09.765,8.60014
23:19:09.829,8.47958
23:19:09.877,8.39561
23:19:09.942,8.3158
23:19:10.005,8.26158
23:19:10.069,8.25083
23:19:10.117,8.25403
23:19:10.180,8.24519
23:19:10.245,8.23563
23:19:10.309,8.22823
23:19:10.357,8.22788
23:19:10.422,8.22823
23:19:10.485,8.22701
23:19:10.549,8.22494
23:19:10.596,8.23344
23:19:10.661,8.24579
23:19:10.724,8.24403
23:19:10.789,8.26526
23:19:10.837,8.28708
23:19:10.901,8.29553
23:19:10.963,8.29868
23:19:11.027,8.2885
23:19:11.078,8.30487
23:19:11.141,8.31142
23:19:11.206,8.32406
23:19:11.269,8.31711
23:19:11.317,8.31561
23:19:11.381,8.31065
23:19:11.446,8.31909
23:19:11.509,8.33292
23:19:11.558,8.32896
23:19:11.621,8.33769
23:19:11.686,8.32817
23:19:11.749,8.3242
23:19:11.797,8.31849
23:19:11.859,8.31787
23:19:11.925,8.30479
23:19:11.989,8.30665
23:19:12.037,8.30928
23:19:12.099,8.30235
23:19:12.165,8.29763
23:19:12.229,8.30272
23:19:12.277,8.29852
